track_id,bpm,energy,danceability,valence,key,mode,camelot,deezer_id
1Rl9GHgsflyIVqBRyO45Zo,123.8,,,,,,,
2PRAvJnWzIFtP97b0XN4FN,107.4,,,,,,,
6fsAhTL8kNREO6TubIdZ9F,80.8,,,,,,,
7lTJO95ldKZYGV8dwCZxwo,99.4,,,,,,,
0fO7yI17D2Kk2atygUJTxK,104.4,,,,,,,
7c60ZlUVvg5R0HXHB2R3gX,97.0,,,,,,,
42l11XUu7HO6zOh40hVPZC,129.2,,,,,,,
4DRXsujReutNX0pAmIpppo,91.9,,,,,,,
6qH9Tz6wL2hZ3AuIUSZe8J,84.7,,,,,,,
4HfxDJ0uLHTLe0fZrx0MbQ,96.4,,,,,,,
5N5fp1lYSORdZbWanACki9,91.9,,,,,,,
5YTM7OgQDt9EJAYcfHLniJ,97.1,,,,,,,1045582.0
1gSDTZHemEViEBiXysrlo0,96.6,,,,,,,
6GAemDMWAXa8wZOBkO1gar,96.2,,,,,,,
7zxMTAuYtI6V6P4O3r0Jfo,95.7,,,,,,,
0eEXcw3JLVXcRxYrVYMy68,98.2,,,,,,,
7AgMX97ljLm9BzszyyXEYZ,92.5,,,,,,,
6aeht0QSwiZN1esYfniHxr,99.1,,,,,,,
2Y5f3YbTqkIVv9M6jxfzwN,100.1,,,,,,,
6FI3RJ58Ztl0X1VtA6pVs9,94.0,,,,,,,13149127.0
3jaEmUzw0Nt4GcyPkWEDCi,93.5,,,,,,,
2cE8TW1RiEJoezQv7pbyoa,104.7,,,,,,,
4WC5J69TQjOqS6o5HkhFSA,94.8,,,,,,,75625674.0
3YQCClOSBrbKkeAhmGvkoP,93.5,,,,,,,
2MAaiV0bbeq4FpSwPe2rR8,94.0,,,,,,,
4DcrZLp19qTdBYqc2bgj3V,86.2,,,,,,,
4YCBBxP0AeWPpEwidahrha,98.9,,,,,,,
0uAUUNyWyXx6xhKQBKALc1,115.2,,,,,,,
6DQtVbl8NaxVsmxirL67Sv,115.2,,,,,,,
6DQtVbl8NaxVsmxirL67Sv,115.2,,,,,,,
4eqpI1FMneCsdIgSB9ObD5,70.8,,,,,,,
51qt5kp9KhlrhiDLBtB6xk,111.1,,,,,,,
