position,track_title,artist_raw,release_id,artist_clean,cover_url,thumb_url,styles,genres,year,album_title,album_artist,spotify_uri,found_name,found_artist,track_id,match_score,search_strategy,status,bpm,energy,danceability,valence,key,mode,camelot
A1,Boogie Oogie Oogie,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:1Rl9GHgsflyIVqBRyO45Zo,Boogie Oogie Oogie,A Taste Of Honey,1Rl9GHgsflyIVqBRyO45Zo,100.0,field,ACEITO,,,,,,,
A2,This Love Of Ours,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:2PRAvJnWzIFtP97b0XN4FN,This Love Of Ours,A Taste Of Honey,2PRAvJnWzIFtP97b0XN4FN,100.0,field,ACEITO,,,,,,,
A3,Distant,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:6fsAhTL8kNREO6TubIdZ9F,Distant,A Taste Of Honey,6fsAhTL8kNREO6TubIdZ9F,100.0,field,ACEITO,,,,,,,
A4,World Spin,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:7lTJO95ldKZYGV8dwCZxwo,World Spin,A Taste Of Honey,7lTJO95ldKZYGV8dwCZxwo,100.0,field,ACEITO,,,,,,,
B1,Disco Dancin',A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:0fO7yI17D2Kk2atygUJTxK,Disco Dancin' - 2004 - Remastered,A Taste Of Honey,0fO7yI17D2Kk2atygUJTxK,95.0,field,ACEITO,,,,,,,
B2,You,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:7c60ZlUVvg5R0HXHB2R3gX,You,A Taste Of Honey,7c60ZlUVvg5R0HXHB2R3gX,100.0,field,ACEITO,,,,,,,
B3,If We Loved,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:42l11XUu7HO6zOh40hVPZC,If We Loved,A Taste Of Honey,42l11XUu7HO6zOh40hVPZC,100.0,field,ACEITO,,,,,,,
B4,Sky High,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:4DRXsujReutNX0pAmIpppo,Sky High,A Taste Of Honey,4DRXsujReutNX0pAmIpppo,100.0,field,ACEITO,,,,,,,
B5,You're In Good Hands,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978,A Taste Of Honey,A Taste Of Honey,spotify:track:6qH9Tz6wL2hZ3AuIUSZe8J,You're In Good Hands,A Taste Of Honey,6qH9Tz6wL2hZ3AuIUSZe8J,100.0,field,ACEITO,,,,,,,
A1,Check The Rhime,A Tribe Called Quest,153378,A Tribe Called Quest,https://i.discogs.com/uNDntLBbt2K2Bqxn5EiOXnH0DH66rc_r3HOMbWWvtN8/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,https://i.discogs.com/kQhTnCpwFFzvnOQi7gKe7k56NximKcu5UH8BU4rzGlI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,Conscious,Hip Hop,1999,The Anthology,A Tribe Called Quest,spotify:track:4HfxDJ0uLHTLe0fZrx0MbQ,Check the Rhime,A Tribe Called Quest,4HfxDJ0uLHTLe0fZrx0MbQ,100.0,field,ACEITO,,,,,,,
