release_id,label,is_compilation,format_size,format_raw
5482558,Capitol Records,0,LP,"LP, Album"
153378,Jive,1,LP,"LP, Compilation"
6484114,Tommy Boy,0,"12""","12"", 33 ⅓ RPM, Single"
3063887,Philips,0,LP,"LP, Album, Stereo"
4675996,Lança,0,LP,LP
34512307,Três Selos,0,LP,"LP, Album, Reissue"
2837286,Manhattan Records,0,LP,"LP, Album"
708377,Atlantic,0,LP,"LP, Album, Stereo"
2638227,Premier (2),0,LP,"LP, Album, Reissue"
35181346,Três Selos,0,LP,"LP, Album, Club Edition, Limited Edition, Reissue, Stereo"
2868359,Copacabana,0,LP,"LP, Album"
4566191,RCA,0,LP,LP
3015122,Copacabana,0,LP,"LP, Album"
6567726,Polydor,0,LP,"LP, Album"
31695398,Epic,0,LP,"LP, Album, Stereo"
326537,Deconstruction,0,LP,"LP, Album"
2286432,United Artists Records,0,LP,"LP, Album"
421870,A&M Records,0,LP,"LP, Album"
3201929,TPM,0,LP,"LP, Album"
2428379,Philips,0,LP,"LP, Album, Stereo"
34860737,Três Selos,0,LP,"LP, Album, Club Edition, Limited Edition, Reissue, Stereo"
4275146,Cotillion,0,LP,"LP, Album"
457276,Warner Bros. Records,0,LP,"LP, Album"
94532,RFC Records,0,LP,"LP, Album, Stereo"
5254593,Discos CBS,0,LP,"LP, Album"
2488238,Atlantic,0,LP,"LP, Album"
35442007,Deck (2),0,LP,"LP, Album, Club Edition, Limited Edition, Reissue"
557964,Som Livre,1,LP,"LP, Compilation"
6530420,Top Tape,0,LP,"LP, Album"
2680905,GRP,0,LP,"LP, Album"
2884247,Prelude Records,0,LP,"LP, Album"
3757980,RCA,0,LP,"LP, Album"
18566905,Music Master (6),0,LP,LP
37197222,Fatiado Discos,0,LP,"LP, Album"
5822800,RCA,0,LP,"LP, Album"
16414551,Motown,1,LP,"LP, Compilation, Reissue"
873425,Motown,0,LP,"LP, Album, Stereo"
557007,Discos CBS,0,LP,"LP, Album"
36238906,Três Selos,0,LP,"LP, Album, Club Edition, Limited Edition, Reissue"
2864849,Oasis,0,LP,"LP, Album"
18536692,Oasis,0,LP,"LP, Album, Stereo"
5600660,Opus/Columbia,1,LP,"LP, Compilation, Stereo"
1638445,Discos CBS,1,LP,"LP, Compilation"
30597451,Musidisc (5),1,LP,"LP, Compilation"
27717348,London Records,0,LP,"LP, Mono"
4155277,Warner Bros. Records,0,LP,"LP, Album, Reissue"
2406598,Philips,1,LP,"LP, Compilation, Stereo"
2466768,Som Livre,0,LP,"LP, Album"
1883192,Philips,0,LP,"LP, Album"
4770633,Philips,0,LP,"LP, Album"
6917975,Kudu,0,LP,"LP, Album"
10639232,CTI Records,0,LP,"LP, Album, Stereo"
5528581,RCA Victor,0,LP,"LP, Album, Stereo"
36619927,Fábrica Rocinante,0,LP,"LP, Album, Reissue, Repress, Stereo"
3707062,Philips,0,LP,"LP, Album"
12057538,Square (2),0,LP,"LP, Stereo"
4882387,VARIG,0,LP,"LP, Picture Disc"
16206051,MPS Records,0,LP,"LP, Album"
865849,Philips,0,LP,"LP, Album, Stereo"
739777,Warner Bros. Records,0,LP,"LP, Album"
2665251,Warner Bros. Records,0,LP,"LP, Album, Reissue, Stereo"
12536449,Warner Bros. Records,0,LP,"LP, Album"
4992359,Warner Bros. Records,0,LP,"LP, Album"
15637922,Som Maior,0,LP,"LP, Album, Reissue, Mono"
12548560,Philips,1,LP,"LP, Compilation"
3012850,Philips,0,LP,"LP, Album"
1464053,WEA,1,LP,"LP, Compilation"
2686266,Warner Bros. Records,0,LP,"LP, Album"
26284916,Elektra,0,"7""","7"", 33 ⅓ RPM, Single"
6784951,Elektra,0,LP,"LP, Album"
2359389,Philips,0,LP,"LP, Album"
34607353,Três Selos,0,LP,"LP, Album, Club Edition, Limited Edition, Reissue"
1696389,Warner Bros. Records,0,LP,"LP, Album"
1375560,Kudu,0,LP,"LP, Album, Stereo"
16540851,One Way (2),0,LP,"LP, Album"
7558591,RCA Victor,0,LP,"LP, Album"
779802,RCA Victor,0,LP,"LP, Album, Stereo"
1467087,Columbia,0,LP,"LP, Album"
35371936,Rio Records (22),0,LP,"LP, Album, Limited Edition"
2007337,T-Neck,0,LP,"LP, Album, Stereo"
2839717,EMI,0,LP,"LP, Album"
3632878,RCA,1,LP,"LP, Compilation"
7040190,EMI,1,LP,"LP, Compilation, Stereo"
25881277,Stones Throw Records,0,"12""","12"", 33 ⅓ RPM, Album, Reissue"
3549733,Polydor,0,LP,"LP, Album, Stereo"
34768091,Rocinante,0,LP,"LP, Album, Reissue, Stereo"
7673745,Virgin,0,LP,"LP, Album"
10992295,London Records,0,LP,"LP, Album, Stereo"
717306,Philadelphia International Records,0,LP,"LP, Album, Stereo"
16465506,Fontana,1,LP,"LP, Compilation, Stereo"
11180494,WEA,0,LP,"LP, Album, Reissue"
1164596,Som Livre,0,LP,"LP, Album"
3547218,Som Livre,0,LP,"LP, Album"
6906346,Gala (2),1,LP,"LP, Compilation, Stereo"
2659170,CBS,0,LP,"LP, Album"
424481,Arista,0,LP,"LP, Album"
3355419,Opus/Columbia,1,LP,"LP, Compilation"
2778896,Jive,0,LP,"LP, Album"
4538995,Continental (3),0,LP,"LP, Album"
10019246,Copacabana,0,LP,"LP, Album, Stereo"
36570613,Rocinante,0,LP,"LP, Album, Reissue"
35700658,Três Selos,0,LP,"LP, Album, Limited Edition, Reissue, Stereo"
1719156,Motown,0,LP,"LP, Album"
5476808,Parlophone,0,LP,"LP, Album, Stereo"
14508545,20th Century Records,0,LP,"LP, Album"
2838497,RCA Victor,0,LP,"LP, Album"
255874,Sire,0,LP,"LP, Album"
2698412,Philips,0,LP,"LP, Album, Stereo"
2669548,Philips,0,LP,"LP, Album, Stereo"
2580075,Philips,1,LP,"LP, Compilation"
34334881,Gel Continental,0,LP,LP
8270177,Som Livre,1,LP,"LP, Compilation"
506443,Tamla,0,LP,"LP, Album"
3608764,TNT Records (3),0,LP,LP
365838,Philadelphia International Records,0,LP,"LP, Album, Stereo"
9330823,MJJ Productions,0,LP,"LP, Album, Reissue, Stereo"
9693349,Epic,0,LP,"LP, Album"
7131901,Top Tape,0,LP,"LP, Album"
2680847,Ariola,0,LP,"LP, Album"
2382232,Barclay,0,LP,"LP, Album"
2388225,EMI,0,LP,"LP, Album"
35814406,Três Selos,0,LP,"LP, Album, Club Edition, Limited Edition, Reissue, Stereo"
602721,Philips,0,LP,"LP, Album"
35731924,Três Selos,0,LP,"LP, Album, Club Edition, Limited Edition, Reissue"
1986220,Peter Pan Records,0,LP,"LP, Album"
9567533,Angel Records,0,LP,"LP, Album"
11514999,Qwest Records,0,LP,"LP, Album"
24812033,Mercury,1,LP,"LP, Compilation, Stereo"
12413161,A&M Records,0,LP,"LP, Album, Promo"
8562151,A&M Records,0,LP,"LP, Album"
12486184,Fermata,0,LP,"LP, Album"
7547487,Fermata,0,LP,"LP, Album, Mono"
2240765,Som Livre,0,LP,"LP, Album, Stereo"
1670656,Som Livre,0,LP,"LP, Album, Stereo"
1892641,Som Livre,0,LP,"LP, Album, Stereo"
1361568,Tabu Records,0,LP,"LP, Album"
8131475,Sony Music,1,LP,"LP, Compilation, Reissue, Repress"
10406209,RCA,0,LP,"LP, Album"
2665764,RCA Victor,0,LP,"LP, Album"
2665607,RCA Victor,0,LP,"LP, Album"
3630532,RCA,0,LP,"LP, Album"
2635366,RGE,0,"7""","7"", 33 ⅓ RPM, Single"
7408083,Pablo Records,0,LP,"LP, Album"
20854702,Square (2),0,LP,"LP, Album, Stereo"
6397520,Som Livre,0,LP,"LP, Album"
5620693,A&M Records,0,LP,"LP, Album"
15584066,Fama Classic,0,LP,"LP, Album"
13988717,Odeon,0,LP,"LP, Album, Stereo"
337636,Cotillion,0,LP,"LP, Album"
118664,10 Records,0,"12""","12"", 45 RPM, Single, Stereo"
2249988,Stiletto,0,LP,"LP, Album"
675788,Motown,0,LP,"LP, Album"
7989976,Motown,1,LP,"LP, Compilation"
1585368,Avco,1,LP,"LP, Compilation"
14685056,Discos CBS,0,LP,"LP, Album, Stereo, Mono"
12430504,Motown,0,LP,"LP, Album"
11118731,CBS,0,LP,"LP, Album"
497427,Polydor,1,LP,"LP, Compilation"
36683854,Seroma,0,LP,"LP, Album, Club Edition, Limited Edition, Reissue, Remastered"
8825726,Polysom,0,LP,"LP, Album, Reissue, Stereo"
11131098,Capitol Records,0,LP,"LP, Album, Reissue"
19239142,A&M Records,0,"7""","7"", 33 ⅓ RPM, Single"
5003251,Polydor,0,LP,"LP, Album"
2664862,Discos RGE,0,LP,"LP, Album"
11341384,Eldorado,0,LP,"LP, Album, Stereo, Mono"
20141203,Top Tape,0,LP,LP
2386570,CBS,0,LP,"LP, Album, Stereo"
2250960,SBK Records,0,LP,"LP, Album"
5812246,Philips,1,LP,"LP, Compilation"
5178341,RGE,0,LP,LP
