position,track_title,artist_raw,release_id,artist_clean,cover_url,thumb_url,styles,genres,year,album_title,album_artist
A1,Boogie Oogie Oogie,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
A2,This Love Of Ours,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
A3,Distant,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
A4,World Spin,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
B1,Disco Dancin',A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
B2,You,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
B3,If We Loved,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
B4,Sky High,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
B5,You're In Good Hands,A Taste Of Honey,5482558,A Taste Of Honey,https://i.discogs.com/WPT4jAlv1LUh4DRH4moXDS6inxwN4ao7miTouNowxxU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,https://i.discogs.com/fzW2Ug2zwMY37eiBpmbnk1jGvfproDnS0HPh3jsLFJE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODI1/NTgtMTY3Nzk0MTcw/NS03MzgyLmpwZWc.jpeg,"Disco, Funk",Funk / Soul,1978.0,A Taste Of Honey,A Taste Of Honey
A1,Check The Rhime,A Tribe Called Quest,153378,A Tribe Called Quest,https://i.discogs.com/uNDntLBbt2K2Bqxn5EiOXnH0DH66rc_r3HOMbWWvtN8/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,https://i.discogs.com/kQhTnCpwFFzvnOQi7gKe7k56NximKcu5UH8BU4rzGlI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,Conscious,Hip Hop,1999.0,The Anthology,A Tribe Called Quest
A2,Bonita Applebum,A Tribe Called Quest,153378,A Tribe Called Quest,https://i.discogs.com/uNDntLBbt2K2Bqxn5EiOXnH0DH66rc_r3HOMbWWvtN8/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,https://i.discogs.com/kQhTnCpwFFzvnOQi7gKe7k56NximKcu5UH8BU4rzGlI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,Conscious,Hip Hop,1999.0,The Anthology,A Tribe Called Quest
A3,Award Tour,A Tribe Called Quest,153378,A Tribe Called Quest,https://i.discogs.com/uNDntLBbt2K2Bqxn5EiOXnH0DH66rc_r3HOMbWWvtN8/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,https://i.discogs.com/kQhTnCpwFFzvnOQi7gKe7k56NximKcu5UH8BU4rzGlI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,Conscious,Hip Hop,1999.0,The Anthology,A Tribe Called Quest
A4,Can I Kick It?,A Tribe Called Quest,153378,A Tribe Called Quest,https://i.discogs.com/uNDntLBbt2K2Bqxn5EiOXnH0DH66rc_r3HOMbWWvtN8/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,https://i.discogs.com/kQhTnCpwFFzvnOQi7gKe7k56NximKcu5UH8BU4rzGlI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,Conscious,Hip Hop,1999.0,The Anthology,A Tribe Called Quest
A5,Scenario,A Tribe Called Quest,153378,A Tribe Called Quest,https://i.discogs.com/uNDntLBbt2K2Bqxn5EiOXnH0DH66rc_r3HOMbWWvtN8/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,https://i.discogs.com/kQhTnCpwFFzvnOQi7gKe7k56NximKcu5UH8BU4rzGlI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,Conscious,Hip Hop,1999.0,The Anthology,A Tribe Called Quest
B1,Buggin' Out,A Tribe Called Quest,153378,A Tribe Called Quest,https://i.discogs.com/uNDntLBbt2K2Bqxn5EiOXnH0DH66rc_r3HOMbWWvtN8/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,https://i.discogs.com/kQhTnCpwFFzvnOQi7gKe7k56NximKcu5UH8BU4rzGlI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,Conscious,Hip Hop,1999.0,The Anthology,A Tribe Called Quest
B2,If The Papes Come,A Tribe Called Quest,153378,A Tribe Called Quest,https://i.discogs.com/uNDntLBbt2K2Bqxn5EiOXnH0DH66rc_r3HOMbWWvtN8/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,https://i.discogs.com/kQhTnCpwFFzvnOQi7gKe7k56NximKcu5UH8BU4rzGlI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzM3/OC0xNjcyNjM5MjM0/LTEwMzAuanBlZw.jpeg,Conscious,Hip Hop,1999.0,The Anthology,A Tribe Called Quest
